,Maximos,Mimimos,Promedios
106,14095.064733556605,14095.064733556605,14095.064733556621
107,12189.823667783021,12189.823667783021,12189.823667783035
108,12830.323667783021,12830.323667783021,12830.32366778304
109,12177.62946711321,12177.62946711321,12177.629467113198
110,13462.694200669814,13462.694200669814,13462.69420066981
111,14103.194200669814,14103.194200669814,14103.194200669814
112,13466.758934226418,13466.758934226418,13466.758934226422
113,12830.323667783021,12830.323667783021,12830.32366778304
114,12189.823667783021,12189.823667783021,12189.823667783035
115,11553.388401339625,11553.388401339625,11553.388401339631
116,10916.95313489623,10916.95313489623,10916.953134896232
117,10912.888401339625,10912.888401339625,10912.888401339638
118,11557.45313489623,11557.45313489623,11557.453134896232
119,10284.582602009437,10284.582602009437,10284.582602009417
120,10280.517868452835,10280.517868452835,10280.517868452824
121,11557.45313489623,11557.45313489623,11557.453134896232
122,10912.888401339625,10912.888401339625,10912.888401339638
123,12193.888401339625,12193.888401339625,12193.888401339624
124,10908.823667783021,10908.823667783021,10908.823667783034
125,11541.194200669812,11541.194200669812,11541.194200669797
126,11541.194200669812,11541.194200669812,11541.194200669797
127,12189.823667783021,12189.823667783021,12189.823667783035
128,12830.323667783021,12830.323667783021,12830.32366778304
129,12189.823667783021,12189.823667783021,12189.823667783035
130,12822.194200669812,12822.194200669812,12822.194200669808
131,13462.694200669812,13462.694200669812,13462.69420066981
132,12830.323667783021,12830.323667783021,12830.32366778304
133,11557.453134896228,11557.453134896228,11557.453134896232
134,12189.82366778302,12189.82366778302,12189.823667783035
135,12193.888401339625,12193.888401339625,12193.888401339624
136,12830.323667783021,12830.323667783021,12830.32366778304
137,12830.323667783021,12830.323667783021,12830.32366778304
138,12185.758934226416,12185.758934226416,12185.758934226431
139,12193.888401339625,12193.888401339625,12193.888401339624
140,11557.45313489623,11557.45313489623,11557.453134896232
141,12830.323667783021,12830.323667783021,12830.32366778304
142,12830.323667783021,12830.323667783021,12830.32366778304
143,12189.823667783021,12189.823667783021,12189.823667783035
144,12189.823667783021,12189.823667783021,12189.823667783035
145,12193.888401339624,12193.888401339624,12193.888401339624
146,10916.953134896226,10916.953134896226,10916.953134896232
147,10280.517868452831,10280.517868452831,10280.517868452824
148,10921.017868452831,10921.017868452831,10921.017868452827
149,10280.517868452831,10280.517868452831,10280.517868452824
150,11557.453134896228,11557.453134896228,11557.453134896232
151,12189.82366778302,12189.82366778302,12189.823667783035
152,11553.388401339624,11553.388401339624,11553.388401339631
153,12830.32366778302,12830.32366778302,12830.32366778304
154,13466.758934226416,13466.758934226416,13466.758934226422
155,12185.758934226416,12185.758934226416,12185.758934226431
156,12826.258934226416,12826.258934226416,12826.258934226425
157,12830.323667783021,12830.323667783021,12830.32366778304
158,12189.82366778302,12189.82366778302,12189.823667783035
159,11557.453134896226,11557.453134896226,11557.453134896232
160,11553.388401339624,11553.388401339624,11553.388401339631
161,10916.953134896226,10916.953134896226,10916.953134896232
162,10916.953134896226,10916.953134896226,10916.953134896232
163,11549.32366778302,11549.32366778302,11549.323667783035
164,10916.953134896226,10916.953134896226,10916.953134896232
165,11545.258934226415,11545.258934226415,11545.258934226433
166,12826.258934226416,12826.258934226416,12826.258934226425
167,12185.758934226416,12185.758934226416,12185.758934226431
168,12189.82366778302,12189.82366778302,12189.823667783035
169,10912.888401339625,10912.888401339625,10912.888401339638
170,10272.388401339622,10272.388401339622,10272.388401339638
171,12193.888401339625,12193.888401339625,12193.888401339624
172,11553.388401339625,11553.388401339625,11553.388401339631
173,12193.888401339625,12193.888401339625,12193.888401339624
174,11545.258934226416,11545.258934226416,11545.258934226433
175,11549.32366778302,11549.32366778302,11549.323667783035
176,13466.758934226416,13466.758934226416,13466.758934226422
177,12189.823667783021,12189.823667783021,12189.823667783035
178,11553.388401339622,11553.388401339622,11553.38840133963
179,10272.388401339622,10272.388401339622,10272.388401339638
180,12193.888401339624,12193.888401339624,12193.888401339624
181,12830.323667783021,12830.323667783021,12830.32366778304
182,11549.323667783021,11549.323667783021,11549.323667783035
183,12185.758934226416,12185.758934226416,12185.758934226431
184,11549.323667783021,11549.323667783021,11549.323667783035
185,12189.823667783021,12189.823667783021,12189.823667783035
186,10916.953134896226,10916.953134896226,10916.953134896232
187,11557.453134896228,11557.453134896228,11557.453134896232
188,12189.82366778302,12189.82366778302,12189.823667783035
189,12185.758934226416,12185.758934226416,12185.758934226431
